,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
125000,6.36436,8.55997,8.66126,5.24838,3.1327,1.07129,1.67559,0.649318,2.26872,1.07113,1.67506
125001,2.6748,4.0722,3.69331,4.06354,3.64675,-0.0598705,0.157018,0.23828,-0.431404,-0.0598503,0.156952
125002,9.18364,4.0722,8.66126,4.06354,3.1327,-0.0598705,1.67559,0.23828,2.26872,-0.0598503,1.67506
125003,8.59059,3.69331,8.66126,3.64675,3.1327,0.157018,1.67559,-0.431404,2.26872,0.156952,1.67506
125004,4.07494,27.2978,18.149,11.4683,9.42753,-1.51299,-1.27258,2.71564,2.40059,-1.51295,-1.27252
125005,7.69279,27.2978,19.137,11.4683,5.51642,-1.51299,-1.91557,2.71564,-2.6454,-1.51295,-1.91539
125006,7.26505,27.2978,6.64958,11.4683,4.46596,-1.51299,-0.9523,2.71564,1.83028,-1.51295,-0.952093
125007,9.53643,18.149,19.137,9.42753,5.51642,-1.27258,-1.91557,2.40059,-2.6454,-1.27252,-1.91539
125008,4.17363,18.149,6.64958,9.42753,4.46596,-1.27258,-0.9523,2.40059,1.83028,-1.27252,-0.952093
125009,9.16081,19.137,6.64958,5.51642,4.46596,-1.91557,-0.9523,-2.6454,1.83028,-1.91539,-0.952093
125010,2.04664,21.2269,16.5369,14.754,12.5905,0.905447,0.772383,2.18709,2.12938,0.905429,0.77236
125011,26.8407,21.2269,45.3957,14.754,7.48046,0.905447,2.48941,2.18709,-0.416154,0.905429,2.48931
125012,11.4292,21.2269,6.96996,14.754,6.91767,0.905447,-0.12194,2.18709,2.52027,0.905429,-0.121926
125013,26.2439,16.5369,45.3957,12.5905,7.48046,0.772383,2.48941,2.12938,-0.416154,0.77236,2.48931
125014,9.56003,16.5369,6.96996,12.5905,6.91767,0.772383,-0.12194,2.12938,2.52027,0.77236,-0.121926
125015,27.5199,45.3957,6.96996,7.48046,6.91767,2.48941,-0.12194,-0.416154,2.52027,2.48931,-0.121926
125016,8.90845,68.3665,27.5689,47.3023,21.3179,0.911807,0.748216,0.426033,0.653305,0.911806,0.748208
125017,7.09527,68.3665,16.5597,47.3023,12.9629,0.911807,0.728676,0.426033,0.211157,0.911806,0.728655
125018,9.5402,68.3665,6.30183,47.3023,3.7033,0.911807,1.12428,0.426033,1.12142,0.911806,1.12395
125019,7.29961,27.5689,16.5597,21.3179,12.9629,0.748216,0.728676,0.653305,0.211157,0.748208,0.728655
125020,5.29382,27.5689,6.30183,21.3179,3.7033,0.748216,1.12428,0.653305,1.12142,0.748208,1.12395
125021,6.7306,16.5597,6.30183,12.9629,3.7033,0.728676,1.12428,0.211157,1.12142,0.728655,1.12395
125022,5.74157,11.4603,12.3621,9.43044,6.28919,-0.644813,-1.29683,2.72414,2.38848,-0.644777,-1.29671
125023,5.95292,11.4603,4.36485,9.43044,4.29992,-0.644813,-0.171841,2.72414,-2.73085,-0.644777,-0.17179
125024,14.4274,11.4603,19.41,9.43044,3.43297,-0.644813,-2.41758,2.72414,-1.7943,-0.644777,-2.41712
125025,8.43715,12.3621,4.36485,6.28919,4.29992,-1.29683,-0.171841,2.38848,-2.73085,-1.29671,-0.17179
125026,9.19942,12.3621,19.41,6.28919,3.43297,-1.29683,-2.41758,2.38848,-1.7943,-1.29671,-2.41712
125027,12.3331,4.36485,19.41,4.29992,3.43297,-0.171841,-2.41758,-2.73085,-1.7943,-0.17179,-2.41712
125028,11.0139,9.94603,7.76735,8.45528,7.40491,0.585316,0.311311,2.13069,-2.63889,0.585275,0.31128
125029,15.5841,9.94603,20.6708,8.45528,4.1904,0.585316,-2.27862,2.13069,2.7102,0.585275,-2.27831
125030,4.93346,9.94603,7.20976,8.45528,3.0801,0.585316,1.49439,2.13069,1.8731,0.585275,1.49386
125031,20.2478,7.76735,20.6708,7.40491,4.1904,0.311311,-2.27862,-2.63889,2.7102,0.31128,-2.27831
125032,9.523,7.76735,7.20976,7.40491,3.0801,0.311311,1.49439,-2.63889,1.8731,0.31128,1.49386
125033,16.9678,20.6708,7.20976,4.1904,3.0801,-2.27862,1.49439,2.7102,1.8731,-2.27831,1.49386
125034,6.08157,108.695,69.2795,106.587,68.4306,0.19856,0.15734,-1.19194,-1.25012,0.19856,0.15734
125035,9.57714,108.695,8.76493,106.587,8.63747,0.19856,0.171158,-1.19194,-0.874191,0.19856,0.171145
125036,7.49828,108.695,5.46073,106.587,5.07919,0.19856,0.384706,-1.19194,-1.46801,0.19856,0.384626
125037,9.08457,69.2795,8.76493,68.4306,8.63747,0.15734,0.171158,-1.25012,-0.874191,0.15734,0.171145
125038,5.74133,69.2795,5.46073,68.4306,5.07919,0.15734,0.384706,-1.25012,-1.46801,0.15734,0.384626
125039,4.03571,8.76493,5.46073,8.63747,5.07919,0.171158,0.384706,-0.874191,-1.46801,0.171145,0.384626
125040,58.954,40.4725,24.6374,6.63377,6.05826,2.49481,-2.08051,-2.91573,1.56499,2.49468,-2.08036
125041,7.60142,40.4725,13.5316,6.63377,2.83698,2.49481,2.24423,-2.91573,1.31598,2.49468,2.24355
125042,53.28,40.4725,11.2901,6.63377,2.64557,2.49481,-2.13012,-2.91573,1.29848,2.49468,-2.12934
125043,34.5337,24.6374,13.5316,6.05826,2.83698,-2.08051,2.24423,1.56499,1.31598,-2.08036,2.24355
125044,1.0921,24.6374,11.2901,6.05826,2.64557,-2.08051,-2.13012,1.56499,1.29848,-2.08036,-2.12934
125045,23.9194,13.5316,11.2901,2.83698,2.64557,2.24423,-2.13012,1.31598,1.29848,2.24355,-2.12934
125046,54.5365,29.642,22.7826,6.22599,4.69246,-2.24238,2.2624,2.56494,1.49336,-2.24224,2.26215
125047,26.8778,29.642,6.67752,6.22599,3.7536,-2.24238,1.17859,2.56494,-1.54365,-2.24224,1.17826
125048,39.9868,29.642,13.8533,6.22599,2.58136,-2.24238,2.36453,2.56494,-2.79176,-2.24224,2.36371
125049,9.77721,22.7826,6.67752,4.69246,3.7536,2.2624,1.17859,1.49336,-1.54365,2.26215,1.17826
125050,5.9083,22.7826,13.8533,4.69246,2.58136,2.2624,2.36453,1.49336,-2.79176,2.26215,2.36371
125051,5.34918,6.67752,13.8533,3.7536,2.58136,1.17859,2.36453,-1.54365,-2.79176,1.17826,2.36371
125052,12.4406,31.7414,36.4184,6.94514,6.42437,-2.20053,-2.42025,-1.61983,2.34738,-2.20042,-2.42011
125053,5.7523,31.7414,12.122,6.94514,3.33559,-2.20053,-1.96399,-1.61983,-2.88237,-2.20042,-1.96351
125054,0.713481,31.7414,12.3644,6.94514,2.80613,-2.20053,-2.16299,-1.61983,-1.7706,-2.20042,-2.1623
125055,5.24685,36.4184,12.122,6.42437,3.33559,-2.42025,-1.96399,2.34738,-2.88237,-2.42011,-1.96351
125056,7.45473,36.4184,12.3644,6.42437,2.80613,-2.42025,-2.16299,2.34738,-1.7706,-2.42011,-2.1623
125057,3.2116,12.122,12.3644,3.33559,2.80613,-1.96399,-2.16299,-2.88237,-1.7706,-1.96351,-2.1623
125058,8.11818,99.9448,13.1756,74.6298,11.0681,0.801993,0.607654,-1.43743,-1.22428,0.801993,0.60763
125059,9.37938,99.9448,9.18064,74.6298,4.8173,0.801993,1.26068,-1.43743,-1.64328,0.801993,1.26047
125060,10.5058,99.9448,4.97624,74.6298,4.76619,0.801993,0.29502,-1.43743,-1.19273,0.801993,0.29495
125061,5.74194,13.1756,9.18064,11.0681,4.8173,0.607654,1.26068,-1.22428,-1.64328,0.60763,1.26047
125062,2.31191,13.1756,4.97624,11.0681,4.76619,0.607654,0.29502,-1.22428,-1.19273,0.60763,0.29495
125063,5.28737,9.18064,4.97624,4.8173,4.76619,1.26068,0.29502,-1.64328,-1.19273,1.26047,0.29495
125064,6.44651,43.3996,32.06,13.934,8.50079,1.80243,2.00253,3.01173,2.45551,1.80241,2.00246
125065,3.03247,43.3996,11.4939,13.934,2.71769,1.80243,2.12086,3.01173,2.62973,1.80241,2.12013
125066,12.8143,43.3996,3.46913,13.934,2.53171,1.80243,0.835314,3.01173,0.517799,1.80241,0.834719
125067,1.03398,32.06,11.4939,8.50079,2.71769,2.00253,2.12086,2.45551,2.62973,2.00246,2.12013
125068,9.63006,32.06,3.46913,8.50079,2.53171,2.00253,0.835314,2.45551,0.517799,2.00246,0.834719
125069,5.72709,11.4939,3.46913,2.71769,2.53171,2.12086,0.835314,2.62973,0.517799,2.12013,0.834719
125070,11.5244,64.2058,38.3917,57.9807,37.2216,-0.459338,-0.250076,-0.495164,-0.366207,-0.459338,-0.250075
125071,3.87775,64.2058,19.8416,57.9807,18.3134,-0.459338,-0.405696,-0.495164,-0.601593,-0.459338,-0.405689
125072,4.76887,64.2058,20.0791,57.9807,16.8751,-0.459338,-0.606846,-0.495164,-0.46083,-0.459338,-0.606835
125073,7.40788,38.3917,19.8416,37.2216,18.3134,-0.250076,-0.405696,-0.366207,-0.601593,-0.250075,-0.405689
125074,9.41827,38.3917,20.0791,37.2216,16.8751,-0.250076,-0.606846,-0.366207,-0.46083,-0.250075,-0.606835
125075,4.33394,19.8416,20.0791,18.3134,16.8751,-0.405696,-0.606846,-0.601593,-0.46083,-0.405689,-0.606835
125076,9.51445,23.6262,9.83031,23.4206,9.78208,0.132311,0.0986733,1.82242,1.18547,0.13231,0.0986676
125077,2.41876,23.6262,5.13603,23.4206,5.13345,0.132311,0.0241319,1.82242,1.63099,0.13231,0.0241268
125078,12.8576,23.6262,3.91321,23.4206,2.51918,0.132311,1.00822,1.82242,0.267296,0.13231,1.00755
125079,3.1752,9.83031,5.13603,9.78208,5.13345,0.0986733,0.0241319,1.18547,1.63099,0.0986676,0.0241268
125080,6.42431,9.83031,3.91321,9.78208,2.51918,0.0986733,1.00822,1.18547,0.267296,0.0986676,1.00755
125081,5.82909,5.13603,3.91321,5.13345,2.51918,0.0241319,1.00822,1.63099,0.267296,0.0241268,1.00755
125082,10.7626,35.527,17.9951,12.4369,12.3906,-1.71062,-0.918475,1.36717,1.68349,-1.71058,-0.918449
125083,1.95342,35.527,11.7598,12.4369,3.92826,-1.71062,-1.76045,1.36717,1.08654,-1.71058,-1.76011
125084,11.686,35.527,3.94727,12.4369,3.88731,-1.71062,-0.173346,1.36717,1.19206,-1.71058,-0.173283
125085,7.32553,17.9951,11.7598,12.3906,3.92826,-0.918475,-1.76045,1.68349,1.08654,-0.918449,-1.76011
125086,6.32571,17.9951,3.94727,12.3906,3.88731,-0.918475,-0.173346,1.68349,1.19206,-0.918449,-0.173283
125087,6.89655,11.7598,3.94727,3.92826,3.88731,-1.76045,-0.173346,1.08654,1.19206,-1.76011,-0.173283
125088,11.0251,9.48259,8.48235,8.98205,5.28583,-0.332125,1.05065,0.768199,0.213205,-0.332102,1.05049
125089,5.37222,9.48259,5.4388,8.98205,5.14555,-0.332125,0.335442,0.768199,1.1704,-0.332102,0.335374
125090,17.1115,9.48259,15.0297,8.98205,3.55172,-0.332125,-2.12146,0.768199,-2.05254,-0.332102,-2.12103
