,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
25000,4.19125,5.06381,7.09718,4.57564,3.71216,0.457408,1.26438,3.03938,2.44748,0.457294,1.26404
25001,8.59466,5.2787,7.09718,4.45581,3.71216,0.598385,1.26438,-0.631795,2.44748,0.598235,1.26404
25002,22.6307,8.01042,27.6942,7.59714,5.36723,-0.328096,2.32452,-2.6216,-0.978774,-0.328065,2.32433
25003,12.3451,8.01042,5.55988,7.59714,5.32962,-0.328096,-0.292268,-2.6216,0.0389998,-0.328065,-0.292212
25004,9.4151,8.01042,3.98217,7.59714,3.74132,-0.328096,-0.355897,-2.6216,1.47598,-0.328065,-0.355761
25005,17.8185,27.6942,5.55988,5.36723,5.32962,2.32452,-0.292268,-0.978774,0.0389998,2.32433,-0.292212
25006,20.1005,27.6942,3.98217,5.36723,3.74132,2.32452,-0.355897,-0.978774,1.47598,2.32433,-0.355761
25007,5.84905,5.55988,3.98217,5.32962,3.74132,-0.292268,-0.355897,0.0389998,1.47598,-0.292212,-0.355761
25008,5.58853,24.3643,15.7582,5.2007,2.62998,-2.22587,-2.47647,-1.84462,2.63158,-2.22567,-2.47568
25009,7.46333,24.3643,7.02575,5.2007,2.61429,-2.22587,-1.64505,-1.84462,2.28308,-2.22567,-1.64429
25010,27.4939,24.3643,9.65448,5.2007,2.58102,-2.22587,1.99395,-1.84462,0.144819,-2.22567,1.99315
25011,2.76821,15.7582,7.02575,2.62998,2.61429,-2.47647,-1.64505,2.63158,2.28308,-2.47568,-1.64429
25012,24.9752,15.7582,9.65448,2.62998,2.58102,-2.47647,1.99395,2.63158,0.144819,-2.47568,1.99315
25013,16.6466,7.02575,9.65448,2.61429,2.58102,-1.64505,1.99395,2.28308,0.144819,-1.64429,1.99315
25014,9.73318,44.3393,21.4581,43.3571,21.3451,0.212447,-0.10272,-2.7725,-2.73567,0.212446,-0.102719
25015,6.82162,44.3393,11.9686,43.3571,11.3132,0.212447,0.338641,-2.7725,-2.49126,0.212446,0.338626
25016,26.0399,44.3393,14.7645,43.3571,2.68112,0.212447,2.39076,-2.7725,1.39975,0.212446,2.39
25017,7.90307,21.4581,11.9686,21.3451,11.3132,-0.10272,0.338641,-2.73567,-2.49126,-0.102719,0.338626
25018,20.593,21.4581,14.7645,21.3451,2.68112,-0.10272,2.39076,-2.73567,1.39975,-0.102719,2.39
25019,12.0893,11.9686,14.7645,11.3132,2.68112,0.338641,2.39076,-2.49126,1.39975,0.338626,2.39
25020,6.43699,86.2193,50.8691,85.3109,49.5682,-0.145795,-0.228598,-0.993823,-0.935341,-0.145795,-0.228597
25021,5.50898,86.2193,9.85402,85.3109,9.74879,-0.145795,-0.146405,-0.993823,-1.1877,-0.145795,-0.146396
25022,11.2477,86.2193,5.30981,85.3109,4.95346,-0.145795,0.376524,-0.993823,-0.845907,-0.145795,0.376442
25023,5.83428,50.8691,9.85402,49.5682,9.74879,-0.228598,-0.146405,-0.935341,-1.1877,-0.228597,-0.146396
25024,9.83202,50.8691,5.30981,49.5682,4.95346,-0.228598,0.376524,-0.935341,-0.845907,-0.228597,0.376442
25025,4.38884,9.85402,5.30981,9.74879,4.95346,-0.146405,0.376524,-1.1877,-0.845907,-0.146396,0.376442
25026,11.1506,6.41923,11.1942,5.80231,4.32044,0.456827,1.60562,2.94925,0.678145,0.456756,1.60535
25027,9.40406,6.41923,6.69576,5.80231,3.58169,0.456827,1.23792,2.94925,0.448354,0.456756,1.23755
25028,10.681,6.41923,8.9282,5.80231,3.19454,0.456827,1.68718,2.94925,-0.0491664,0.456756,1.68667
25029,1.76084,11.1942,6.69576,4.32044,3.58169,1.60562,1.23792,0.678145,0.448354,1.60535,1.23755
25030,2.83507,11.1942,8.9282,4.32044,3.19454,1.60562,1.68718,0.678145,-0.0491664,1.60535,1.68667
25031,2.36964,6.69576,8.9282,3.58169,3.19454,1.23792,1.68718,0.448354,-0.0491664,1.23755,1.68667
25032,12.1293,12.5947,16.3848,7.34465,6.25613,1.13389,1.61729,-0.37694,-2.45399,1.13381,1.61716
25033,10.8415,12.5947,12.2845,7.34465,3.222,1.13389,2.01378,-0.37694,2.87368,1.13381,2.01327
25034,4.0907,12.5947,5.72692,7.34465,2.83849,1.13389,1.32686,-0.37694,0.52036,1.13381,1.32626
25035,4.51826,16.3848,12.2845,6.25613,3.222,1.61729,2.01378,-2.45399,2.87368,1.61716,2.01327
25036,8.43997,16.3848,5.72692,6.25613,2.83849,1.61729,1.32686,-2.45399,0.52036,1.61716,1.32626
25037,6.03019,12.2845,5.72692,3.222,2.83849,2.01378,1.32686,2.87368,0.52036,2.01327,1.32626
25038,9.39796,13.3753,20.4645,8.89688,7.97234,0.965393,1.59554,3.13081,-2.19513,0.965341,1.59546
25039,9.4719,13.3753,5.52985,8.89688,5.17563,0.965393,0.367376,3.13081,-1.80514,0.965341,0.367303
25040,7.24836,13.3753,4.53297,8.89688,3.54221,0.965393,0.731077,3.13081,-1.78727,0.965341,0.7308
25041,8.65865,20.4645,5.52985,7.97234,5.17563,1.59554,0.367376,-2.19513,-1.80514,1.59546,0.367303
25042,5.15004,20.4645,4.53297,7.97234,3.54221,1.59554,0.731077,-2.19513,-1.78727,1.59546,0.7308
25043,1.5834,5.52985,4.53297,5.17563,3.54221,0.367376,0.731077,-1.80514,-1.78727,0.367303,0.7308
25044,2.45444,15.7599,12.6639,12.7289,11.1461,0.677059,0.516059,2.79186,2.66721,0.677038,0.516038
25045,5.42938,15.7599,13.773,12.7289,10.2946,0.677059,0.800467,2.79186,-3.02891,0.677038,0.800432
25046,23.9654,15.7599,19.5681,12.7289,6.69085,0.677059,-1.73569,2.79186,2.40818,0.677038,-1.73557
25047,6.95567,12.6639,13.773,11.1461,10.2946,0.516059,0.800467,2.66721,-3.02891,0.516038,0.800432
25048,27.094,12.6639,19.5681,11.1461,6.69085,0.516059,-1.73569,2.66721,2.40818,0.516038,-1.73557
25049,32.8581,13.773,19.5681,10.2946,6.69085,0.800467,-1.73569,-3.02891,2.40818,0.800432,-1.73557
25050,9.50418,31.0483,23.1466,28.9956,23.1452,0.374081,0.0102008,-0.289081,-0.255479,0.374079,0.0102006
25051,1.96546,31.0483,18.4422,28.9956,16.7293,0.374081,0.448713,-0.289081,-0.242675,0.374079,0.448704
25052,16.5988,31.0483,4.06631,28.9956,4.05646,0.374081,0.0646419,-0.289081,1.42063,0.374079,0.0646201
25053,8.57244,23.1466,18.4422,23.1452,16.7293,0.0102008,0.448713,-0.255479,-0.242675,0.0102006,0.448704
25054,13.9525,23.1466,4.06631,23.1452,4.05646,0.0102008,0.0646419,-0.255479,1.42063,0.0102006,0.0646201
25055,12.3781,18.4422,4.06631,16.7293,4.05646,0.448713,0.0646419,-0.242675,1.42063,0.448704,0.0646201
25056,9.37869,12.3279,22.6507,9.09189,7.53698,0.820449,1.7646,-0.198293,0.402366,0.820403,1.7645
25057,1.88209,12.3279,6.58122,9.09189,4.45636,0.820449,0.941215,-0.198293,-0.464172,0.820403,0.941008
25058,7.39397,12.3279,3.78697,9.09189,3.29661,0.820449,0.538096,-0.198293,-1.64041,0.820403,0.537843
25059,6.92116,22.6507,6.58122,7.53698,4.45636,1.7646,0.941215,0.402366,-0.464172,1.7645,0.941008
25060,10.6144,22.6507,3.78697,7.53698,3.29661,1.7646,0.538096,0.402366,-1.64041,1.7645,0.537843
25061,4.58101,6.58122,3.78697,4.45636,3.29661,0.941215,0.538096,-0.464172,-1.64041,0.941008,0.537843
25062,2.31622,11.6825,7.90151,6.02011,5.4776,1.28191,0.909,0.845954,0.978553,1.28178,0.908866
25063,3.51183,11.6825,13.9738,6.02011,4.29722,1.28191,1.8478,0.845954,1.23743,1.28178,1.84752
25064,20.4877,11.6825,10.4732,6.02011,2.74577,1.28191,-2.01421,0.845954,0.691726,1.28178,-2.0135
25065,4.86043,7.90151,13.9738,5.4776,4.29722,0.909,1.8478,0.978553,1.23743,0.908866,1.84752
25066,15.9512,7.90151,10.4732,5.4776,2.74577,0.909,-2.01421,0.978553,0.691726,0.908866,-2.0135
25067,23.0938,13.9738,10.4732,4.29722,2.74577,1.8478,-2.01421,1.23743,0.691726,1.84752,-2.0135
25068,12.2547,31.2874,18.8784,17.4213,12.8263,1.19018,0.936788,-0.768163,0.0342045,1.19016,0.936763
25069,9.2504,31.2874,12.9219,17.4213,8.61567,1.19018,0.962214,-0.768163,-0.0275139,1.19016,0.962158
25070,7.50917,31.2874,6.67435,17.4213,5.69681,1.19018,0.577513,-0.768163,-0.335204,1.19016,0.577424
25071,0.73035,18.8784,12.9219,12.8263,8.61567,0.936788,0.962214,0.0342045,-0.0275139,0.936763,0.962158
25072,4.39022,18.8784,6.67435,12.8263,5.69681,0.936788,0.577513,0.0342045,-0.335204,0.936763,0.577424
25073,3.43865,12.9219,6.67435,8.61567,5.69681,0.962214,0.577513,-0.0275139,-0.335204,0.962158,0.577424
25074,9.24855,721.333,282.366,138.724,47.9952,-2.33239,-2.45795,-2.86891,-2.92974,-2.33239,-2.45795
25075,5.08188,721.333,130.076,138.724,27.7945,-2.33239,-2.22481,-2.86891,-2.82978,-2.33239,-2.22481
25076,3.59268,721.333,141.364,138.724,25.5032,-2.33239,-2.39744,-2.86891,-2.81765,-2.33239,-2.39743
25077,9.70195,282.366,130.076,47.9952,27.7945,-2.45795,-2.22481,-2.92974,-2.82978,-2.45795,-2.22481
25078,4.73393,282.366,141.364,47.9952,25.5032,-2.45795,-2.39744,-2.92974,-2.81765,-2.45795,-2.39743
25079,4.67103,130.076,141.364,27.7945,25.5032,-2.22481,-2.39744,-2.82978,-2.81765,-2.22481,-2.39743
