,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
50000,23.9305,22.1392,14.5165,5.31586,2.81151,-2.10506,2.32517,-2.54603,3.02239,-2.10487,2.32448
50001,2.90368,7.26075,9.06408,3.68683,3.51623,-1.29897,-1.60006,0.296222,1.0503,-1.29862,-1.59964
50002,13.8415,7.26075,14.5165,3.68683,2.81151,-1.29897,2.32517,0.296222,3.02239,-1.29862,2.32448
50003,35.3507,9.06408,14.5165,3.51623,2.81151,-1.60006,2.32517,1.0503,3.02239,-1.59964,2.32448
50004,11.2406,12.3279,3.81677,7.89898,3.61244,-1.01479,-0.333593,2.63705,-0.344889,-1.01472,-0.333456
50005,14.9899,12.3279,6.67967,7.89898,3.60852,-1.01479,1.22621,2.63705,2.04811,-1.01472,1.22585
50006,6.83504,12.3279,13.5152,7.89898,2.97489,-1.01479,-2.19438,2.63705,-2.99806,-1.01472,-2.19377
50007,9.07277,3.81677,6.67967,3.61244,3.60852,-0.333593,1.22621,-0.344889,2.04811,-0.333456,1.22585
50008,9.40007,3.81677,13.5152,3.61244,2.97489,-0.333593,-2.19438,-0.344889,-2.99806,-0.333456,-2.19377
50009,17.9364,6.67967,13.5152,3.60852,2.97489,1.22621,-2.19438,2.04811,-2.99806,1.22585,-2.19377
50010,9.22162,8.42205,5.15223,5.35891,4.91855,1.02379,0.306334,1.97733,-2.38505,1.02364,0.306266
50011,7.99043,8.42205,4.02967,5.35891,3.52906,1.02379,-0.525827,1.97733,1.35334,1.02364,-0.525611
50012,4.09892,8.42205,5.19384,5.35891,2.59114,1.02379,1.31929,1.97733,3.07861,1.02364,1.31857
50013,8.65403,5.15223,4.02967,4.91855,3.52906,0.306334,-0.525827,-2.38505,1.35334,0.306266,-0.525611
50014,4.68829,5.15223,5.19384,4.91855,2.59114,0.306334,1.31929,-2.38505,3.07861,0.306266,1.31857
50015,7.89496,4.02967,5.19384,3.52906,2.59114,-0.525827,1.31929,1.35334,3.07861,-0.525611,1.31857
50016,10.5222,14.6727,6.38217,5.62191,5.10242,1.61353,0.694001,-0.621534,-2.69577,1.61337,0.693872
50017,9.21074,14.6727,9.91011,5.62191,4.13815,1.61353,1.51964,-0.621534,3.11212,1.61337,1.51934
50018,2.50795,14.6727,4.84659,5.62191,3.01812,1.61353,1.05132,-0.621534,-0.408444,1.61337,1.05084
50019,4.46621,6.38217,9.91011,5.10242,4.13815,0.694001,1.51964,-2.69577,3.11212,0.693872,1.51934
50020,7.28081,6.38217,4.84659,5.10242,3.01812,0.694001,1.05132,-2.69577,-0.408444,0.693872,1.05084
50021,7.13167,9.91011,4.84659,4.13815,3.01812,1.51964,1.05132,3.11212,-0.408444,1.51934,1.05084
50022,11.1083,27.8753,20.4707,6.36643,5.74817,2.15654,1.94292,-1.54573,1.77869,2.1564,1.94276
50023,21.466,27.8753,5.49663,6.36643,5.4133,2.15654,-0.174171,-1.54573,-1.1433,2.1564,-0.174138
50024,5.60789,27.8753,8.65031,6.36643,4.09449,2.15654,1.37961,-1.54573,-2.28515,2.1564,1.37932
50025,16.1491,20.4707,5.49663,5.74817,5.4133,1.94292,-0.174171,1.77869,-1.1433,1.94276,-0.174138
50026,8.45858,20.4707,8.65031,5.74817,4.09449,1.94292,1.37961,1.77869,-2.28515,1.94276,1.37932
50027,9.53648,5.49663,8.65031,5.4133,4.09449,-0.174171,1.37961,-1.1433,-2.28515,-0.174138,1.37932
50028,9.42408,28.8742,9.71975,14.969,7.53509,1.27491,0.744101,0.379911,1.12733,1.27489,0.744039
50029,10.2267,28.8742,9.0145,14.969,7.10036,1.27491,0.7186,0.379911,1.2227,1.27489,0.718532
50030,7.3631,28.8742,4.73729,14.969,3.97306,1.27491,0.610256,0.379911,-0.330949,1.27489,0.610064
50031,0.741197,9.71975,9.0145,7.53509,7.10036,0.744101,0.7186,1.12733,1.2227,0.744039,0.718532
50032,7.12544,9.71975,4.73729,7.53509,3.97306,0.744101,0.610256,1.12733,-0.330949,0.744039,0.610064
50033,7.41792,9.0145,4.73729,7.10036,3.97306,0.7186,0.610256,1.2227,-0.330949,0.718532,0.610064
50034,9.55623,50.1877,11.272,13.7517,6.71961,-1.96843,-1.10663,2.76574,2.31017,-1.9684,-1.10653
50035,7.04185,50.1877,8.53038,13.7517,4.9108,-1.96843,-1.14966,2.76574,2.54953,-1.9684,-1.14947
50036,63.3601,50.1877,10.1625,13.7517,3.08318,-1.96843,1.86198,2.76574,-1.46707,-1.9684,1.86142
50037,1.42839,11.272,8.53038,6.71961,4.9108,-1.10663,-1.14966,2.31017,2.54953,-1.10653,-1.14947
50038,18.4546,11.272,10.1625,6.71961,3.08318,-1.10663,1.86198,2.31017,-1.46707,-1.10653,1.86142
50039,18.7637,8.53038,10.1625,4.9108,3.08318,-1.14966,1.86198,2.54953,-1.46707,-1.14947,1.86142
50040,4.61043,24.5357,19.2242,9.8827,5.63159,1.5592,1.89873,-2.19422,-1.67661,1.55915,1.89856
50041,9.81436,24.5357,16.1378,9.8827,4.64127,1.5592,1.91795,-2.19422,2.55904,1.55915,1.9177
50042,9.84093,24.5357,10.6566,9.8827,3.64449,1.5592,1.73544,-2.19422,-0.326576,1.55915,1.73505
50043,8.75017,19.2242,16.1378,5.63159,4.64127,1.89873,1.91795,-1.67661,2.55904,1.89856,1.9177
50044,5.73983,19.2242,10.6566,5.63159,3.64449,1.89873,1.73544,-1.67661,-0.326576,1.89856,1.73505
50045,8.24888,16.1378,10.6566,4.64127,3.64449,1.91795,1.73544,2.55904,-0.326576,1.9177,1.73505
50046,8.79016,9.00713,7.54365,5.64076,4.99893,-1.04431,-0.970345,2.3655,-1.96573,-1.04417,-0.970178
50047,9.46519,9.00713,7.00747,5.64076,4.13875,-1.04431,-1.11808,2.3655,-0.900152,-1.04417,-1.11782
50048,10.4822,9.00713,4.13066,5.64076,4.08853,-1.04431,-0.141123,2.3655,-1.06548,-1.04417,-0.141077
50049,4.61745,7.54365,7.00747,4.99893,4.13875,-0.970345,-1.11808,-1.96573,-0.900152,-0.970178,-1.11782
50050,5.54107,7.54365,4.13066,4.99893,4.08853,-0.970345,-0.141123,-1.96573,-1.06548,-0.970178,-0.141077
50051,4.18382,7.00747,4.13066,4.13875,4.08853,-1.11808,-0.141123,-0.900152,-1.06548,-1.11782,-0.141077
50052,9.35995,119.914,59.8958,48.5249,18.5432,-1.55414,-1.84078,-1.94112,-1.82125,-1.55413,-1.84076
50053,9.6294,119.914,13.2112,48.5249,5.68141,-1.55414,-1.48716,-1.94112,-2.5132,-1.55413,-1.487
50054,7.65905,119.914,13.1926,48.5249,3.46832,-1.55414,-2.01135,-1.94112,-2.27593,-1.55413,-2.01091
50055,7.94215,59.8958,13.2112,18.5432,5.68141,-1.84078,-1.48716,-1.82125,-2.5132,-1.84076,-1.487
50056,3.97437,59.8958,13.1926,18.5432,3.46832,-1.84078,-2.01135,-1.82125,-2.27593,-1.84076,-2.01091
50057,2.69207,13.2112,13.1926,5.68141,3.46832,-1.48716,-2.01135,-2.5132,-2.27593,-1.487,-2.01091
50058,7.70364,10.8328,12.8005,7.27144,5.80118,-0.953155,-1.42871,-2.2862,-1.1742,-0.953077,-1.42856
50059,9.68959,10.8328,7.75264,7.27144,2.84219,-0.953155,-1.66107,-2.2862,1.16076,-0.953077,-1.66043
50060,8.60442,10.8328,5.88451,7.27144,2.82567,-0.953155,-1.36316,-2.2862,1.66476,-0.953077,-1.36254
50061,7.7108,12.8005,7.75264,5.80118,2.84219,-1.42871,-1.66107,-1.1742,1.16076,-1.42856,-1.66043
50062,8.15635,12.8005,5.88451,5.80118,2.82567,-1.42871,-1.36316,-1.1742,1.66476,-1.42856,-1.36254
50063,1.67365,7.75264,5.88451,2.84219,2.82567,-1.66107,-1.36316,1.16076,1.66476,-1.66043,-1.36254
50064,3.74297,35.9361,19.7221,19.8409,10.6775,-1.20036,-1.22377,-0.212053,-0.468496,-1.20035,-1.22373
50065,5.22556,35.9361,6.52584,19.8409,3.25438,-1.20036,-1.31983,-0.212053,-0.86567,-1.20035,-1.31937
50066,37.5173,35.9361,14.7572,19.8409,2.64029,-1.20036,2.40587,-0.212053,2.53724,-1.20035,2.40508
50067,2.37928,19.7221,6.52584,10.6775,3.25438,-1.22377,-1.31983,-0.468496,-0.86567,-1.22373,-1.31937
50068,30.8684,19.7221,14.7572,10.6775,2.64029,-1.22377,2.40587,-0.468496,2.53724,-1.22373,2.40508
50069,20.0456,6.52584,14.7572,3.25438,2.64029,-1.31983,2.40587,-0.86567,2.53724,-1.31937,2.40508
50070,10.853,17.1548,16.2537,6.18874,5.72458,1.67842,1.70411,1.03061,-3.10624,1.67828,1.70395
50071,8.31944,17.1548,9.96929,6.18874,4.47615,1.67842,1.43913,1.03061,-0.652889,1.67828,1.43888
50072,7.2881,17.1548,10.6026,6.18874,3.07489,1.67842,1.9092,1.03061,-0.837704,1.67828,1.90864
50073,9.71834,16.2537,9.96929,5.72458,4.47615,1.70411,1.43913,-3.10624,-0.652889,1.70395,1.43888
50074,7.63855,16.2537,10.6026,5.72458,3.07489,1.70411,1.9092,-3.10624,-0.837704,1.70395,1.90864
50075,1.90694,9.96929,10.6026,4.47615,3.07489,1.43913,1.9092,-0.652889,-0.837704,1.43888,1.90864
50076,8.78214,9.22431,9.64005,9.13937,9.03807,-0.135748,-0.36281,1.15686,0.176412,-0.135739,-0.362786
50077,20.0373,9.22431,19.8433,9.13937,4.0422,-0.135748,-2.27367,1.15686,-2.04826,-0.135739,-2.27334
50078,6.83001,9.22431,2.80301,9.13937,2.7959,-0.135748,-0.0605361,1.15686,-0.32554,-0.135739,-0.0604929
50079,17.2399,9.64005,19.8433,9.03807,4.0422,-0.36281,-2.27367,0.176412,-2.04826,-0.362786,-2.27334
50080,2.92884,9.64005,2.80301,9.03807,2.7959,-0.36281,-0.0605361,0.176412,-0.32554,-0.362786,-0.0604929
50081,10.5212,19.8433,2.80301,4.0422,2.7959,-2.27367,-0.0605361,-2.04826,-0.32554,-2.27334,-0.0604929
50082,1.81172,14.3363,10.0553,9.64576,7.80113,-0.950013,-0.742904,1.5868,1.57076,-0.949968,-0.742846
50083,8.19839,14.3363,4.50385,9.64576,3.78282,-0.950013,-0.607505,1.5868,0.164428,-0.949968,-0.607294
50084,11.1432,14.3363,3.89358,9.64576,3.56921,-0.950013,-0.422243,1.5868,-0.688913,-0.949968,-0.422069
50085,7.03724,10.0553,4.50385,7.80113,3.78282,-0.742904,-0.607505,1.57076,0.164428,-0.742846,-0.607294
50086,9.64013,10.0553,3.89358,7.80113,3.56921,-0.742904,-0.422243,1.57076,-0.688913,-0.742846,-0.422069
50087,3.13204,4.50385,3.89358,3.78282,3.56921,-0.607505,-0.422243,0.164428,-0.688913,-0.607294,-0.422069
50088,7.16609,15.4795,12.7735,15.0558,9.64059,0.236578,0.785758,-1.50143,-1.71344,0.236573,0.785719
50089,6.98618,15.4795,5.97873,15.0558,5.40618,0.236578,-0.455898,-1.50143,-1.81862,0.236573,-0.455817
50090,8.49324,15.4795,5.71307,15.0558,2.82867,0.236578,1.32806,-1.50143,-2.12598,0.236573,1.32746
50091,9.58214,12.7735,5.97873,9.64059,5.40618,0.785758,-0.455898,-1.71344,-1.81862,0.785719,-0.455817
50092,3.58411,12.7735,5.71307,9.64059,2.82867,0.785758,1.32806,-1.71344,-2.12598,0.785719,1.32746
50093,8.0406,5.97873,5.71307,5.40618,2.82867,-0.455898,1.32806,-1.81862,-2.12598,-0.455817,1.32746
50094,11.3712,5.93094,7.60431,5.80577,4.66709,-0.2065,-1.07,1.88663,-1.47437,-0.206467,-1.06979
