,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
150000,7.37423,19.4894,6.96781,11.0309,6.51831,-1.17041,-0.368947,-1.41007,-1.14861,-1.17037,-0.368901
150001,8.86903,19.4894,9.90509,11.0309,3.07862,-1.17041,-1.83658,-1.41007,0.0639241,-1.17037,-1.83602
150002,2.6674,10.1753,6.96781,7.93257,6.51831,-0.735204,-0.368947,-1.11791,-1.14861,-0.735148,-0.368901
150003,7.96211,10.1753,9.90509,7.93257,3.07862,-0.735204,-1.83658,-1.11791,0.0639241,-0.735148,-1.83602
150004,8.84144,6.96781,9.90509,6.51831,3.07862,-0.368947,-1.83658,-1.14861,0.0639241,-0.368901,-1.83602
150005,3.85667,77.4,56.6308,72.6848,53.0554,0.358278,0.365087,2.77183,2.71107,0.358278,0.365086
150006,9.55736,77.4,13.1169,72.6848,13.0085,0.358278,0.128748,2.77183,2.98614,0.358278,0.128744
150007,44.7895,77.4,9.36271,72.6848,2.55389,0.358278,-1.97305,2.77183,-1.5627,0.358278,-1.97223
150008,9.6553,56.6308,13.1169,53.0554,13.0085,0.365087,0.128748,2.71107,2.98614,0.365086,0.128744
150009,39.4532,56.6308,9.36271,53.0554,2.55389,0.365087,-1.97305,2.71107,-1.5627,0.365086,-1.97223
150010,16.7011,13.1169,9.36271,13.0085,2.55389,0.128748,-1.97305,2.98614,-1.5627,0.128744,-1.97223
150011,9.38979,13.8407,10.1663,10.2962,5.84218,-0.807591,-1.15186,0.253902,1.4853,-0.807556,-1.15172
150012,13.4631,13.8407,5.90762,10.2962,4.47156,-0.807591,-0.781164,0.253902,3.07929,-0.807556,-0.780982
150013,23.6926,13.8407,15.2049,10.2962,2.75409,-0.807591,2.39335,0.253902,1.94451,-0.807556,2.39262
150014,7.58852,10.1663,5.90762,5.84218,4.47156,-1.15186,-0.781164,1.4853,3.07929,-1.15172,-0.780982
150015,19.9147,10.1663,15.2049,5.84218,2.75409,-1.15186,2.39335,1.4853,1.94451,-1.15172,2.39262
150016,20.4694,5.90762,15.2049,4.47156,2.75409,-0.781164,2.39335,3.07929,1.94451,-0.780982,2.39262
150017,8.02311,19.5138,5.26101,12.0042,4.99409,-1.06717,-0.324866,-0.493081,0.234475,-1.06714,-0.324796
150018,9.5997,19.5138,13.1208,12.0042,3.3658,-1.06717,-2.03677,-0.493081,-1.67725,-1.06714,-2.0363
150019,30.6546,19.5138,13.2445,12.0042,2.64333,-1.06717,2.29455,-0.493081,-2.87243,-1.06714,2.29377
150020,10.5012,5.26101,13.1208,4.99409,3.3658,-0.324866,-2.03677,0.234475,-1.67725,-0.324796,-2.0363
150021,14.296,5.26101,13.2445,4.99409,2.64333,-0.324866,2.29455,0.234475,-2.87243,-0.324796,2.29377
150022,25.8137,13.1208,13.2445,3.3658,2.64333,-2.03677,2.29455,-1.67725,-2.87243,-2.0363,2.29377
150023,11.8404,104.702,40.0548,36.404,18.1489,1.71789,1.42898,-2.51642,-2.16385,1.71788,1.42897
150024,9.43316,104.702,19.6917,36.404,7.92453,1.71789,1.56017,-2.51642,-1.98529,1.71788,1.56009
150025,4.7734,104.702,12.6773,36.404,4.65026,1.71789,1.66053,-2.51642,-2.87124,1.71788,1.66029
150026,2.66923,40.0548,19.6917,18.1489,7.92453,1.42898,1.56017,-2.16385,-1.98529,1.42897,1.56009
150027,6.78603,40.0548,12.6773,18.1489,4.65026,1.42898,1.66053,-2.16385,-2.87124,1.42897,1.66029
150028,5.32276,19.6917,12.6773,7.92453,4.65026,1.56017,1.66053,-1.98529,-2.87124,1.56009,1.66029
150029,3.84406,100.703,69.0816,70.9255,49.874,-0.886983,-0.851662,-0.631226,-0.578374,-0.886982,-0.85166
150030,14.3014,100.703,40.8199,70.9255,30.2235,-0.886983,-0.814657,-0.631226,-0.334778,-0.886982,-0.814653
150031,63.8484,100.703,13.4772,70.9255,2.95991,-0.886983,2.19668,-0.631226,0.255207,-0.886982,2.19606
150032,9.57634,69.0816,40.8199,49.874,30.2235,-0.851662,-0.814657,-0.578374,-0.334778,-0.85166,-0.814653
150033,52.2778,69.0816,13.4772,49.874,2.95991,-0.851662,2.19668,-0.578374,0.255207,-0.85166,2.19606
150034,42.9813,40.8199,13.4772,30.2235,2.95991,-0.814657,2.19668,-0.334778,0.255207,-0.814653,2.19606
150035,9.27055,6.60897,4.11001,6.58228,3.56225,-0.0885804,0.547023,0.444105,-1.80311,-0.088569,0.546804
150036,8.48214,6.60897,7.63575,6.58228,3.41945,-0.0885804,-1.44201,0.444105,-0.64568,-0.088569,-1.44158
150037,15.3958,6.60897,14.0409,6.58228,3.19751,-0.0885804,2.15949,0.444105,-2.91538,-0.088569,2.15896
150038,8.99714,4.11001,7.63575,3.56225,3.41945,0.547023,-1.44201,-1.80311,-0.64568,0.546804,-1.44158
150039,6.98766,4.11001,14.0409,3.56225,3.19751,0.547023,2.15949,-1.80311,-2.91538,0.546804,2.15896
150040,20.7407,7.63575,14.0409,3.41945,3.19751,-1.44201,2.15949,-0.64568,-2.91538,-1.44158,2.15896
150041,4.79664,115.86,61.1592,76.6907,40.6793,0.97197,0.965498,-1.53995,-1.4549,0.97197,0.965496
150042,8.50052,115.86,54.4054,76.6907,36.5856,0.97197,0.950765,-1.53995,-1.7005,0.97197,0.950762
150043,38.0805,115.86,9.20728,76.6907,4.6526,0.97197,1.30464,-1.53995,1.57444,0.97197,1.30442
150044,9.54506,61.1592,54.4054,40.6793,36.5856,0.965498,0.950765,-1.4549,-1.7005,0.965496,0.950762
150045,28.1772,61.1592,9.20728,40.6793,4.6526,0.965498,1.30464,-1.4549,1.57444,0.965496,1.30442
150046,26.5537,54.4054,9.20728,36.5856,4.6526,0.950765,1.30464,-1.7005,1.57444,0.950762,1.30442
150047,4.2995,132.347,89.6873,60.2146,37.5892,-1.42435,-1.51563,2.11032,2.12389,-1.42435,-1.51563
150048,11.9006,132.347,36.847,60.2146,14.5002,-1.42435,-1.58458,2.11032,1.7373,-1.42435,-1.58455
150049,63.8542,132.347,16.3127,60.2146,14.3111,-1.42435,-0.522877,2.11032,-1.16779,-1.42435,-0.522864
150050,9.16782,89.6873,36.847,37.5892,14.5002,-1.51563,-1.58458,2.12389,1.7373,-1.51563,-1.58455
150051,52.0013,89.6873,16.3127,37.5892,14.3111,-1.51563,-0.522877,2.12389,-1.16779,-1.51563,-0.522864
150052,33.2809,36.847,16.3127,14.5002,14.3111,-1.58458,-0.522877,1.7373,-1.16779,-1.58455,-0.522864
150053,26.8568,26.2799,8.11614,5.96287,4.89201,-2.16326,1.09278,1.21371,0.515346,-2.16311,1.09259
150054,9.80966,26.2799,12.534,5.96287,3.82437,-2.16326,-1.85603,1.21371,-1.18564,-2.16311,-1.85567
150055,9.97679,26.2799,12.491,5.96287,3.55541,-2.16326,-1.92875,1.21371,-2.10464,-2.16311,-1.92833
