,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
75000,18.6486,9.95091,10.0858,5.68241,2.73681,-1.15956,1.97848,2.99464,-1.9143,-1.15942,1.97777
75001,9.87162,3.60222,10.0858,3.00738,2.73681,-0.618245,1.97848,-2.14427,-1.9143,-0.617906,1.97777
75002,9.37391,6.16443,6.01102,6.15644,5.96575,0.0479583,-0.121842,-1.38944,0.354529,0.0479513,-0.121823
75003,9.99518,6.16443,9.45868,6.15644,5.28238,0.0479583,-1.18654,-1.38944,-0.145479,0.0479513,-1.18637
75004,7.32635,6.16443,6.52279,6.15644,3.01151,0.0479583,-1.40772,-1.38944,-0.780548,0.0479513,-1.40718
75005,6.88249,6.01102,9.45868,5.96575,5.28238,-0.121842,-1.18654,0.354529,-0.145479,-0.121823,-1.18637
75006,7.4612,6.01102,6.52279,5.96575,3.01151,-0.121842,-1.40772,0.354529,-0.780548,-0.121823,-1.40718
75007,2.64947,9.45868,6.52279,5.28238,3.01151,-1.18654,-1.40772,-0.145479,-0.780548,-1.18637,-1.40718
75008,3.12916,36.8451,22.1754,26.5776,17.5241,-0.852904,-0.713349,-2.06099,-2.09681,-0.852899,-0.713338
75009,9.29367,36.8451,21.281,26.5776,10.1154,-0.852904,-1.37492,-2.06099,-2.22589,-0.852899,-1.37487
75010,20.7331,36.8451,5.13306,26.5776,4.60039,-0.852904,-0.476218,-2.06099,1.92386,-0.852899,-0.476101
75011,9.36372,22.1754,21.281,17.5241,10.1154,-0.713349,-1.37492,-2.09681,-2.22589,-0.713338,-1.37487
75012,16.475,22.1754,5.13306,17.5241,4.60039,-0.713349,-0.476218,-2.09681,1.92386,-0.713338,-0.476101
75013,13.8871,21.281,5.13306,10.1154,4.60039,-1.37492,-0.476218,-2.22589,1.92386,-1.37487,-0.476101
75014,1.74523,17.4828,18.4243,7.01167,6.7469,-1.56389,-1.66237,-0.264697,-0.034089,-1.56378,-1.66225
75015,6.94057,17.4828,7.79325,7.01167,5.22884,-1.56389,-0.953697,-0.264697,-1.25486,-1.56378,-0.953545
75016,6.28152,17.4828,12.7708,7.01167,2.58352,-1.56389,-2.28073,-0.264697,-1.6111,-1.56378,-2.27991
75017,8.09462,18.4243,7.79325,6.7469,5.22884,-1.66237,-0.953697,-0.034089,-1.25486,-1.66225,-0.953545
75018,6.31601,18.4243,12.7708,6.7469,2.58352,-1.66237,-2.28073,-0.034089,-1.6111,-1.66225,-2.27991
75019,6.00206,7.79325,12.7708,5.22884,2.58352,-0.953697,-2.28073,-1.25486,-1.6111,-0.953545,-2.27991
75020,9.48087,10.3136,14.7826,9.72474,6.39568,0.346124,1.48047,-0.488423,-0.452208,0.346104,1.48035
75021,11.2268,10.3136,13.4768,9.72474,4.71269,0.346124,1.71175,-0.488423,-1.23522,0.346104,1.71151
75022,4.49395,10.3136,3.39273,9.72474,3.26623,0.346124,0.275621,-0.488423,-1.30459,0.346104,0.275481
75023,4.44372,14.7826,13.4768,6.39568,4.71269,1.48047,1.71175,-0.452208,-1.23522,1.48035,1.71151
75024,6.99825,14.7826,3.39273,6.39568,3.26623,1.48047,0.275621,-0.452208,-1.30459,1.48035,0.275481
75025,6.21677,13.4768,3.39273,4.71269,3.26623,1.71175,0.275621,-1.23522,-1.30459,1.71151,0.275481
75026,11.6055,7.45972,6.12093,7.30474,3.9372,-0.205135,-1.00958,-0.144133,2.80991,-0.205113,-1.0093
75027,7.26229,7.45972,4.08796,7.30474,2.69033,-0.205135,0.979224,-0.144133,-1.23242,-0.205113,0.978644
75028,13.4544,7.45972,12.6418,7.30474,2.61129,-0.205135,-2.25943,-0.144133,1.6192,-0.205113,-2.25863
75029,9.55287,6.12093,4.08796,3.9372,2.69033,-1.00958,0.979224,2.80991,-1.23242,-1.0093,0.978644
75030,5.57133,6.12093,12.6418,3.9372,2.61129,-1.00958,-2.25943,2.80991,1.6192,-1.0093,-2.25863
75031,15.6428,4.08796,12.6418,2.69033,2.61129,0.979224,-2.25943,-1.23242,1.6192,0.978644,-2.25863
75032,7.60805,151.547,98.7081,74.7895,52.5723,1.33202,1.24319,-2.6848,-2.76756,1.33202,1.24319
75033,9.93086,151.547,82.695,74.7895,34.6245,1.33202,1.51672,-2.6848,-2.62632,1.33202,1.51671
75034,1.1723,151.547,12.7425,74.7895,6.49242,1.33202,1.2951,-2.6848,-2.71754,1.33202,1.29498
75035,13.249,98.7081,82.695,52.5723,34.6245,1.24319,1.51672,-2.76756,-2.62632,1.24319,1.51671
75036,1.40696,98.7081,12.7425,52.5723,6.49242,1.24319,1.2951,-2.76756,-2.71754,1.24319,1.29498
75037,3.70577,82.695,12.7425,34.6245,6.49242,1.51672,1.2951,-2.62632,-2.71754,1.51671,1.29498
75038,7.55895,6.72984,9.39679,6.71829,4.9745,0.0564726,1.25028,1.21871,0.92655,0.0564656,1.25009
75039,9.66009,6.72984,12.4649,6.71829,4.96708,0.0564726,1.57089,1.21871,1.03022,0.0564656,1.57069
75040,15.8639,6.72984,10.704,6.71829,2.655,0.0564726,2.07152,1.21871,-2.24372,0.0564656,2.07075
75041,1.69306,9.39679,12.4649,4.9745,4.96708,1.25028,1.57089,0.92655,1.03022,1.25009,1.57069
75042,7.96222,9.39679,10.704,4.9745,2.655,1.25028,2.07152,0.92655,-2.24372,1.25009,2.07075
75043,7.58672,12.4649,10.704,4.96708,2.655,1.57089,2.07152,1.03022,-2.24372,1.57069,2.07075
75044,4.07377,51.2941,23.2616,16.5705,7.896,-1.79593,-1.74345,1.22056,0.856862,-1.79591,-1.74336
75045,9.57732,51.2941,17.1144,16.5705,6.75057,-1.79593,-1.58203,1.22056,2.15636,-1.79591,-1.58192
75046,7.14628,51.2941,26.4659,16.5705,4.94838,-1.79593,-2.36108,1.22056,0.617036,-1.79591,-2.36085
75047,8.83757,23.2616,17.1144,7.896,6.75057,-1.74345,-1.58203,0.856862,2.15636,-1.74336,-1.58192
75048,4.07063,23.2616,26.4659,7.896,4.94838,-1.74345,-2.36108,0.856862,0.617036,-1.74336,-2.36085
75049,9.05416,17.1144,26.4659,6.75057,4.94838,-1.58203,-2.36108,2.15636,0.617036,-1.58192,-2.36085
75050,5.74472,19.0302,20.7353,4.66555,4.37984,2.08358,2.23661,1.84865,3.07425,2.08333,2.23633
75051,6.14777,19.0302,4.1196,4.66555,2.98359,2.08358,0.846612,1.84865,0.836073,2.08333,0.84618
75052,1.79033,19.0302,12.6184,4.66555,2.94829,2.08358,2.13311,1.84865,2.31795,2.08333,2.13248
75053,9.23403,20.7353,4.1196,4.37984,2.98359,2.23661,0.846612,3.07425,0.836073,2.23633,0.84618
75054,2.77555,20.7353,12.6184,4.37984,2.94829,2.23661,2.13311,3.07425,2.31795,2.23633,2.13248
75055,5.60745,4.1196,12.6184,2.98359,2.94829,0.846612,2.13311,0.836073,2.31795,0.84618,2.13248
75056,3.2491,23.1219,28.0896,9.81481,9.73014,-1.50159,-1.72186,-0.0775456,0.180017,-1.50154,-1.72181
75057,10.3806,23.1219,16.5421,9.81481,9.06981,-1.50159,-1.20868,-0.0775456,1.07403,-1.50154,-1.20863
75058,3.23204,23.1219,8.78855,9.81481,4.94439,-1.50159,-1.17764,-0.0775456,-0.417508,-1.50154,-1.17745
75059,9.28418,28.0896,16.5421,9.73014,9.06981,-1.72186,-1.20868,0.180017,1.07403,-1.72181,-1.20863
75060,5.55157,28.0896,8.78855,9.73014,4.94439,-1.72186,-1.17764,0.180017,-0.417508,-1.72181,-1.17745
75061,8.9722,16.5421,8.78855,9.06981,4.94439,-1.20868,-1.17764,1.07403,-0.417508,-1.20863,-1.17745
75062,1.64839,79.5974,54.6831,14.5639,10.8706,2.38311,2.29861,-2.40341,-2.50528,2.38308,2.29856
75063,6.42201,79.5974,20.4758,14.5639,6.38801,2.38311,1.83268,-2.40341,-2.82574,2.38308,1.83255
75064,10.5999,79.5974,13.0883,14.5639,4.69853,2.38311,1.68369,-2.40341,-1.24454,2.38308,1.68345
75065,4.63689,54.6831,20.4758,10.8706,6.38801,2.29861,1.83268,-2.50528,-2.82574,2.29856,1.83255
75066,9.5709,54.6831,13.0883,10.8706,4.69853,2.29861,1.68369,-2.50528,-1.24454,2.29856,1.68345
