,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
0,5.95006,11.3722,10.369,9.2365,5.70456,-0.667488,-1.20457,3.06836,-2.59823,-0.66745,-1.20443
1,4.12652,11.3722,6.23643,9.2365,4.72168,-0.667488,-0.780786,3.06836,-2.59547,-0.66745,-0.780623
2,11.7974,11.3722,3.91395,9.2365,3.88866,-0.667488,-0.110712,3.06836,-0.771145,-0.66745,-0.110671
3,2.24211,10.369,6.23643,5.70456,4.72168,-1.20457,-0.780786,-2.59823,-2.59547,-1.20443,-0.780623
4,9.23908,10.369,3.91395,5.70456,3.88866,-1.20457,-0.110712,-2.59823,-0.771145,-1.20443,-0.110671
5,7.41181,6.23643,3.91395,4.72168,3.88866,-0.780786,-0.110712,-2.59547,-0.771145,-0.780623,-0.110671
6,9.50525,13.4556,13.0322,11.1994,9.31287,-0.624506,-0.866333,2.28024,-3.06559,-0.624481,-0.866288
7,9.53949,13.4556,3.90238,11.1994,3.87062,-0.624506,0.125103,2.28024,-2.6803,-0.624481,0.125057
8,17.1683,13.4556,8.92723,11.1994,3.28852,-0.624506,1.65595,2.28024,2.51355,-0.624481,1.65547
9,6.59631,13.0322,3.90238,9.31287,3.87062,-0.866333,0.125103,-3.06559,-2.6803,-0.866288,0.125057
10,18.3099,13.0322,8.92723,9.31287,3.28852,-0.866333,1.65595,-3.06559,2.51355,-0.866288,1.65547
11,7.09546,3.90238,8.92723,3.87062,3.28852,0.125103,1.65595,-2.6803,2.51355,0.125057,1.65547
12,42.3926,19.5771,25.874,7.39303,5.72116,1.62923,-2.18975,1.62986,-0.115955,1.62913,-2.18958
13,9.46898,19.5771,18.3421,7.39303,3.02115,1.62923,2.48984,1.62986,-0.751087,1.62913,2.48924
14,7.39645,19.5771,16.1866,7.39303,2.69606,1.62923,2.47851,1.62986,-1.80976,1.62913,2.47775
15,31.2832,25.874,18.3421,5.72116,3.02115,-2.18975,2.48984,-0.115955,-0.751087,-2.18958,2.48924
16,42.0509,25.874,16.1866,5.72116,2.69606,-2.18975,2.47851,-0.115955,-1.80976,-2.18958,2.47775
17,2.67201,18.3421,16.1866,3.02115,2.69606,2.48984,2.47851,-0.751087,-1.80976,2.48924,2.47775
18,8.49772,8.63153,11.1013,8.23731,6.95589,-0.307909,-1.04367,-2.35653,-1.47877,-0.307884,-1.04358
19,1.76375,8.63153,4.72939,8.23731,4.7177,-0.307909,-0.0667169,-2.35653,-2.50194,-0.307884,-0.0667002
20,9.32222,8.63153,3.37428,8.23731,2.52378,-0.307909,-0.798766,-2.35653,0.836518,-0.307884,-0.798185
21,8.10786,11.1013,4.72939,6.95589,4.7177,-1.04367,-0.0667169,-1.47877,-2.50194,-1.04358,-0.0667002
22,7.75476,11.1013,3.37428,6.95589,2.52378,-1.04367,-0.798766,-1.47877,0.836518,-1.04358,-0.798185
23,7.38232,4.72939,3.37428,4.7177,2.52378,-0.0667169,-0.798766,-2.50194,0.836518,-0.0667002,-0.798185
24,8.17788,10.4813,8.22988,9.47609,6.87089,0.456508,0.618868,1.17635,2.22522,0.456482,0.618803
25,2.74598,10.4813,5.76115,9.47609,5.4447,0.456508,0.3388,1.17635,1.5388,0.456482,0.338739
26,8.68564,10.4813,10.6834,9.47609,3.07092,0.456508,1.91848,1.17635,1.1788,0.456482,1.91791
27,4.44396,8.22988,5.76115,6.87089,5.4447,0.618868,0.3388,2.22522,1.5388,0.618803,0.338739
28,7.38132,8.22988,10.6834,6.87089,3.07092,0.618868,1.91848,2.22522,1.1788,0.618803,1.91791
29,6.8916,5.76115,10.6834,5.4447,3.07092,0.3388,1.91848,1.5388,1.1788,0.338739,1.91791
30,4.44755,4.68707,7.10944,4.22704,3.16495,-0.461822,-1.44862,-0.25117,0.965855,-0.461687,-1.44812
31,8.16135,4.68707,6.37162,4.22704,3.12294,-0.461822,1.33974,-0.25117,0.956637,-0.461687,1.33924
32,11.4382,4.68707,15.3248,4.22704,2.87196,-0.461822,2.3587,-0.25117,1.91072,-0.461687,2.35804
33,11.6057,7.10944,6.37162,3.16495,3.12294,-1.44862,1.33974,0.965855,0.956637,-1.44812,1.33924
34,15.3107,7.10944,15.3248,3.16495,2.87196,-1.44862,2.3587,0.965855,1.91072,-1.44812,2.35804
35,4.05927,6.37162,15.3248,3.12294,2.87196,1.33974,2.3587,0.956637,1.91072,1.33924,2.35804
36,3.51437,20.6115,13.1688,20.556,12.9517,0.0733063,0.182674,2.86199,2.67715,0.0733053,0.182668
37,13.3346,20.6115,5.21225,20.556,5.06771,0.0733063,0.237387,2.86199,1.43878,0.0733053,0.237336
38,26.4971,20.6115,20.6323,20.556,4.64891,0.0733063,-2.17042,2.86199,3.12956,0.0733053,-2.17016
39,9.35338,13.1688,5.21225,12.9517,5.06771,0.182674,0.237387,2.67715,1.43878,0.182668,0.237336
40,17.7061,13.1688,20.6323,12.9517,4.64891,0.182674,-2.17042,2.67715,3.12956,0.182668,-2.17016
41,18.4392,5.21225,20.6323,5.06771,4.64891,0.237387,-2.17042,1.43878,3.12956,0.237336,-2.17016
42,11.088,7.54772,5.58421,7.54288,4.64781,-0.0329899,-0.624254,-2.10106,0.0802127,-0.0329867,-0.624111
43,17.1029,7.54772,15.8155,7.54288,4.15071,-0.0329899,2.01315,-2.10106,0.746187,-0.0329867,2.01284
44,9.33051,7.54772,3.00255,7.54288,2.96187,-0.0329899,-0.161742,-2.10106,0.704998,-0.0329867,-0.16164
