,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
175000,9.48384,110.14,125.581,37.0897,32.7724,1.75192,2.01903,-2.13415,-2.11987,1.75192,2.01903
175001,10.1681,110.14,65.7402,37.0897,18.619,1.75192,1.93399,-2.13415,-2.49103,1.75192,1.93397
175002,3.59135,110.14,33.811,37.0897,10.4995,1.75192,1.83757,-2.13415,-2.29758,1.75192,1.83752
175003,9.3474,125.581,65.7402,32.7724,18.619,2.01903,1.93399,-2.11987,-2.49103,2.01903,1.93397
175004,4.85844,125.581,33.811,32.7724,10.4995,2.01903,1.83757,-2.11987,-2.29758,2.01903,1.83752
175005,2.95371,65.7402,33.811,18.619,10.4995,1.93399,1.83757,-2.49103,-2.29758,1.93397,1.83752
175006,1.26204,82.9139,59.2839,39.432,27.2829,1.37432,1.41149,-1.86336,-1.87236,1.37432,1.41149
175007,7.28088,82.9139,42.4108,39.432,17.6361,1.37432,1.52426,-1.86336,-2.09409,1.37432,1.52425
175008,9.60756,82.9139,12.6913,39.432,6.72153,1.37432,1.24979,-1.86336,-1.28063,1.37432,1.24968
175009,5.48602,59.2839,42.4108,27.2829,17.6361,1.41149,1.52426,-1.87236,-2.09409,1.41149,1.52425
175010,8.23858,59.2839,12.6913,27.2829,6.72153,1.41149,1.24979,-1.87236,-1.28063,1.41149,1.24968
175011,9.26361,42.4108,12.6913,17.6361,6.72153,1.52426,1.24979,-2.09409,-1.28063,1.52425,1.24968
175012,10.0126,11.0141,8.31331,7.09634,5.56957,-1.00756,-0.955694,-1.17875,0.64538,-1.00748,-0.95556
175013,10.8184,11.0141,9.40384,7.09634,5.10759,-1.00756,-1.21989,-1.17875,2.96298,-1.00748,-1.21971
175014,27.0629,11.0141,16.2995,7.09634,2.81163,-1.00756,2.44297,-1.17875,-1.0479,-1.00748,2.44228
175015,10.0518,8.31331,9.40384,5.56957,5.10759,-0.955694,-1.21989,0.64538,2.96298,-0.95556,-1.21971
175016,21.7361,8.31331,16.2995,5.56957,2.81163,-0.955694,2.44297,0.64538,-1.0479,-0.95556,2.44228
175017,22.0912,9.40384,16.2995,5.10759,2.81163,-1.21989,2.44297,2.96298,-1.0479,-1.21971,2.44228
175018,4.26033,14.7684,10.7275,14.7307,10.5957,-0.0711221,-0.157262,-1.57361,-1.91009,-0.0711203,-0.157255
175019,13.6301,14.7684,7.95791,14.7307,7.07452,-0.0711221,-0.494487,-1.57361,3.07148,-0.0711203,-0.494436
175020,19.2759,14.7684,12.8198,14.7307,2.57466,-0.0711221,-2.28815,-1.57361,-0.0288868,-0.0711203,-2.28732
175021,9.15202,10.7275,7.95791,10.5957,7.07452,-0.157262,-0.494487,-1.91009,3.07148,-0.157255,-0.494436
175022,15.5142,10.7275,12.8198,10.5957,2.57466,-0.157262,-2.28815,-1.91009,-0.0288868,-0.157255,-2.28732
175023,12.3692,7.95791,12.8198,7.07452,2.57466,-0.494487,-2.28815,3.07148,-0.0288868,-0.494436,-2.28732
175024,6.72439,27.7316,14.5816,27.3328,14.355,-0.170564,-0.177326,-1.49888,-1.15885,-0.170562,-0.177321
175025,45.6656,27.7316,27.2469,27.3328,5.51277,-0.170564,2.28062,-1.49888,1.58133,-0.170562,2.28044
175026,8.24779,27.7316,4.83373,27.3328,4.75562,-0.170564,0.179659,-1.49888,-0.860304,-0.170562,0.179615
175027,32.8124,14.5816,27.2469,14.355,5.51277,-0.177326,2.28062,-1.15885,1.58133,-0.177321,2.28044
175028,3.86261,14.5816,4.83373,14.355,4.75562,-0.177326,0.179659,-1.15885,-0.860304,-0.177321,0.179615
175029,16.0468,27.2469,4.83373,5.51277,4.75562,2.28062,0.179659,1.58133,-0.860304,2.28044,0.179615
175030,8.88129,23.4703,11.6294,22.7978,11.2936,0.242256,-0.243094,-1.48897,-1.73634,0.242254,-0.243084
175031,9.39807,23.4703,8.0704,22.7978,8.06179,0.242256,-0.0443294,-1.48897,-0.854122,0.242254,-0.0443256
175032,6.70361,23.4703,3.39593,22.7978,3.15106,0.242256,-0.390424,-1.48897,-1.03524,0.242254,-0.390215
