,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
100050,16.6771,19.1334,3.8859,3.96402,2.51278,2.2564,-1.00238,0.86679,3.13667,2.25605,-1.00171
100051,5.86412,4.26058,3.8859,3.50215,2.51278,-0.646247,-1.00238,0.505557,3.13667,-0.645988,-1.00171
100052,55.4918,25.732,22.5584,5.72711,5.23174,2.18304,-2.14078,-0.694029,2.46745,2.18288,-2.14058
100053,5.2271,25.732,14.9393,5.72711,3.40735,2.18304,2.15792,-0.694029,0.382735,2.18288,2.15745
100054,6.64785,25.732,12.1589,5.72711,3.02105,2.18304,2.06976,-0.694029,-2.84099,2.18288,2.06917
100055,40.7144,22.5584,14.9393,5.23174,3.40735,-2.14078,2.15792,2.46745,0.382735,-2.14058,2.15745
100056,33.538,22.5584,12.1589,5.23174,3.02105,-2.14078,2.06976,2.46745,-2.84099,-2.14058,2.06917
100057,6.56844,14.9393,12.1589,3.40735,3.02105,2.15792,2.06976,0.382735,-2.84099,2.15745,2.06917
100058,2.95477,6.1799,4.70142,6.1717,4.69688,0.0486105,-0.0377879,2.5827,3.13272,0.0486034,-0.0377783
100059,4.71457,6.1799,3.50097,6.1717,2.94203,0.0486105,-0.60621,2.5827,1.67208,0.0486034,-0.605861
100060,9.83801,6.1799,8.55239,6.1717,2.69812,0.0486105,1.82086,2.5827,-2.14442,0.0486034,1.82013
100061,5.37409,4.70142,3.50097,4.69688,2.94203,-0.0377879,-0.60621,3.13272,1.67208,-0.0377783,-0.605861
100062,7.89623,4.70142,8.55239,4.69688,2.69812,-0.0377879,1.82086,3.13272,-2.14442,-0.0377783,1.82013
100063,10.9133,3.50097,8.55239,2.94203,2.69812,-0.60621,1.82086,1.67208,-2.14442,-0.605861,1.82013
100064,7.47807,12.8957,9.20417,12.3268,8.96203,-0.302557,0.231648,1.59803,1.14128,-0.302546,0.231633
100065,2.21086,12.8957,9.21467,12.3268,8.08465,-0.302557,-0.522613,1.59803,1.57256,-0.302546,-0.522573
100066,21.6956,12.8957,12.408,12.3268,6.65163,-0.302557,1.23547,1.59803,-2.63875,-0.302546,1.23536
100067,7.53859,9.20417,9.21467,8.96203,8.08465,0.231648,-0.522613,1.14128,1.57256,0.231633,-0.522573
100068,16.8612,9.20417,12.408,8.96203,6.65163,0.231648,1.23547,1.14128,-2.63875,0.231633,1.23536
100069,19.1378,9.21467,12.408,8.08465,6.65163,-0.522613,1.23547,1.57256,-2.63875,-0.522573,1.23536
100070,10.5283,40.2619,11.7225,19.9805,9.91147,1.32561,0.595595,-2.75006,-2.66998,1.3256,0.595564
100071,7.38795,40.2619,9.12497,19.9805,3.90759,1.32561,1.4918,-2.75006,2.69185,1.3256,1.49147
100072,15.7083,40.2619,14.5883,19.9805,2.75219,1.32561,2.35192,-2.75006,-0.373093,1.3256,2.3512
100073,8.04238,11.7225,9.12497,9.91147,3.90759,0.595595,1.4918,-2.66998,2.69185,0.595564,1.49147
100074,14.0211,11.7225,14.5883,9.91147,2.75219,0.595595,2.35192,-2.66998,-0.373093,0.595564,2.3512
100075,7.20582,9.12497,14.5883,3.90759,2.75219,1.4918,2.35192,2.69185,-0.373093,1.49147,2.3512
100076,9.96632,17.3991,12.3279,7.62437,6.1532,1.46631,1.31893,-0.569681,-2.18199,1.46622,1.31881
100077,3.33159,17.3991,5.81551,7.62437,3.09264,1.46631,1.2448,-0.569681,0.0879482,1.46622,1.24431
100078,9.46555,17.3991,12.7687,7.62437,2.55731,1.46631,2.29097,-0.569681,3.02734,1.46622,2.29014
100079,7.90721,12.3279,5.81551,6.1532,3.09264,1.31893,1.2448,-2.18199,0.0879482,1.31881,1.24431
100080,5.76834,12.3279,12.7687,6.1532,2.55731,1.31893,2.29097,-2.18199,3.02734,1.31881,2.29014
